Time,Measured,Filtered
0.25,0.0,0.0
0.5,12.0,1.1980360065466447
0.75,0.0,1.0698313407968194
1.0,0.0,0.9492631798449039
1.25,0.0,0.8380547490817831
1.5,0.0,0.7369766546564809
1.75,0.0,0.6461248058270487
2.0,0.0,0.5651518657440913
2.25,0.0,0.4934441232535866
2.5,0.0,0.4302482853833871
2.75,0.0,0.37475758827948596
3.0,0.0,0.3261672573931744
3.25,0.0,0.28370806681921884
3.5,0.0,0.2466648889404584
3.75,0.0,0.2143853312266607
4.0,0.0,0.18628207020278179
4.25,0.0,0.16183135699846277
4.5,0.0,0.14056934453353936
4.75,0.0,0.12208730850069308
5.0,0.0,0.10602643956621807
5.25,0.0,0.0920726201751343
5.5,0.0,0.07995142602028128
5.75,0.0,0.06942348057583143
6.0,0.0,0.060280220683949635
6.25,0.0,0.05234008797690728
6.5,0.0,0.0454451354166704
6.75,0.0,0.039458024094958764
7.0,0.0,0.03425937846655701
7.25,0.0,0.029745465643518095
7.5,0.0,0.02582616448010118
7.75,0.0,0.022423191788512375
8.0,0.0,0.019468555423489627
8.25,0.0,0.016903206712251498
8.5,0.0,0.014675867514582134
8.75,0.0,0.012742009918419256
9.0,0.0,0.011062969123424691
9.25,0.0,0.009605172397723391
9.5,0.0,0.008339469097714663
9.75,0.0,0.007240548620239415
10.0,0.0,0.006286434822130543
10.25,0.0,0.00545804691074038
10.5,0.0,0.004738818098647596
10.75,0.0,0.00411436444498804
11.0,8.0,30.573870362644925
11.25,28.0,30.234700451750335
11.5,32.0,30.467321609222076
11.75,32.0,30.66928932456855
12.0,44.0,32.42593555781742
12.25,48.0,34.478198671402765
12.5,52.0,36.78712392363
12.75,48.0,38.2646943214099
13.0,72.0,42.71014542036005
13.25,32.0,41.298821909046275
13.5,40.0,41.127670361320824
13.75,20.0,38.343583060483446
14.0,64.0,41.72444355605014
14.25,36.0,40.97010808395061
14.5,36.0,40.31517475532742
14.75,60.0,42.909132073596744
15.0,56.0,44.63417420471212
15.25,44.0,44.55060623707668
15.5,48.0,45.005148262456316
15.75,48.0,45.399793255755434
16.0,40.0,44.688238372690556
16.25,36.0,43.54335038222154
16.5,48.0,44.130623015936635
16.75,48.0,44.64050811108507
17.0,32.0,42.97481187315167
17.25,72.0,46.79959061377903
17.5,68.0,49.593263295287755
17.75,24.0,46.220724623141194
