Time,Measured,Filtered
0.25,0.0,0.0
0.5,0.0,0.0
0.75,0.0,0.0
1.0,4.0,0.4507931534782196
1.25,0.0,0.39798166741039503
1.5,0.0,0.3499809507482435
1.75,0.0,0.30683654959298406
2.0,0.0,0.26838351804027893
2.25,0.0,0.23433041237638755
2.5,0.0,0.20431950323645914
2.75,0.0,0.17796766860588034
3.0,0.0,0.15489273116612018
3.25,0.0,0.13472939520264932
3.5,0.0,0.11713805559802137
3.75,0.0,0.1018088993390978
4.0,0.0,0.0884630138892416
4.25,4.0,0.6018772621385009
4.5,0.0,0.52280036327726
4.75,0.0,0.45406265105316485
5.0,0.0,0.39432965491979977
5.25,0.0,0.34243312035906914
5.5,0.0,0.29735241852795413
5.75,0.0,0.25819726900950424
6.0,0.0,0.22419199133764928
6.25,8.0,15.814516709584609
6.5,8.0,14.785081642193447
6.75,16.0,14.945139509515899
7.0,8.0,14.030108410571575
7.25,8.0,13.23559943530331
7.5,12.0,13.072795249874206
7.75,28.0,15.039671522406746
8.0,8.0,14.112075233970684
8.25,16.0,14.360844865825461
8.5,4.0,12.99559410107561
8.75,24.0,14.44565856355128
9.0,20.0,15.177565532768526
9.25,8.0,14.23175872309182
9.5,12.0,13.937672967659573
9.75,8.0,13.155245413068412
10.0,16.0,13.530109217730631
10.25,8.0,12.801385266198025
10.5,16.0,13.222879605282458
10.75,8.0,12.5346391655253
11.0,20.0,13.518381242777076
11.25,8.0,12.791200534082733
11.5,8.0,12.159843314838024
11.75,16.0,12.665877507622266
12.0,20.0,13.632327006385069
12.25,12.0,13.417228082340625
12.5,16.0,13.757571360385572
12.75,12.0,13.525968389265143
13.0,12.0,13.324884755470592
13.25,12.0,13.150298796850288
13.5,12.0,12.9987188011198
13.75,12.0,12.867113172872433
14.0,12.0,12.75284980249386
14.25,0.0,11.072349875787268
14.5,20.0,12.248786185394813
14.75,12.0,12.21600251887667
15.0,20.0,13.241734630675609
15.25,12.0,13.07810571190688
15.5,12.0,12.936038906101459
15.75,20.0,13.866888618498388
16.0,12.0,13.62088036416132
16.25,16.0,13.934387588770047
16.5,4.0,12.625288946522467
16.75,16.0,13.069989701627728
17.0,12.0,12.928992377393087
17.25,8.0,12.279477026265004
17.5,16.0,12.769746964137205
17.75,8.0,12.14121609227026
18.0,16.0,12.649705291521519
18.25,4.0,11.50989497216322
18.5,16.0,12.101576176771626
18.75,16.0,12.615288905032473
19.0,12.0,12.534209536439331
19.25,12.0,12.463814358565871
19.5,20.0,13.456891218022832
19.75,0.0,11.68361652640729
20.0,24.0,13.30660141590566
20.25,8.0,12.607326833295836
20.5,16.0,13.054394537589605
20.75,8.0,12.38835438237658
21.0,28.0,14.445570690490346
21.25,8.0,13.59620903673333
21.5,16.0,13.91296731398989
21.75,4.0,12.60669131209347
22.0,16.0,13.053842761871257
22.25,20.0,13.969168942035404
22.5,24.0,15.29097637619091
22.75,8.0,14.330211837278693
23.0,20.0,15.07734516055738
23.25,4.0,13.617633886450847
23.5,20.0,14.45866679067052
23.75,12.0,14.134677280404546
24.0,24.0,15.43467494119626
24.25,8.0,14.454974600212463
24.5,20.0,15.185667376682813
24.75,4.0,13.711682000086363
25.0,32.0,16.121615389542583
25.25,16.0,16.105589586189158
25.5,16.0,16.091675574559556
25.75,8.0,15.025399324120725
26.0,16.0,15.153826810464707
26.25,16.0,15.265330833017988
26.5,4.0,13.780847846780958
26.75,16.0,14.073275442930262
27.0,24.0,15.38136429823849
27.25,8.0,14.408688938910638
27.5,16.0,14.618383108661419
27.75,16.0,14.800444940585388
28.0,16.0,14.9585156713212
28.25,12.0,14.568658840333123
28.5,16.0,14.757273061301994
28.75,12.0,14.393934868346706
29.0,28.0,16.186866873359328
29.25,4.0,14.58094896493743
29.5,8.0,13.713747910964653
29.75,16.0,14.015017565511698
30.0,16.0,14.276587571368962
30.25,16.0,14.503689328653723
30.5,16.0,14.700864872511493
30.75,12.0,14.344959838669267
31.0,12.0,14.035954001600453
31.25,12.0,13.767667244563597
31.5,16.0,14.061831707568283
31.75,12.0,13.790134929574137
32.0,24.0,15.135534475622233
32.25,8.0,14.195253210581654
32.5,8.0,13.37887700975274
32.75,12.0,13.197176224269162
33.0,8.0,12.51232108812075
33.25,16.0,12.97190812403527
33.5,20.0,13.898031197580899
33.75,12.0,13.647919144777488
34.0,12.0,13.430765474869636
34.25,12.0,13.242227114458997
34.5,16.0,13.605631171487904
34.75,8.0,12.866952101646074
35.0,16.0,13.27980782413773
35.25,16.0,13.63825970311209
35.5,8.0,12.895281025848124
35.75,4.0,11.723110093950705
36.0,20.0,12.813792864533593
36.25,12.0,12.7065557421065
36.5,28.0,14.7218412351229
36.75,16.0,14.89026992739061
37.0,8.0,13.982308267905696
37.25,16.0,14.248188524079552
37.5,36.0,17.114521926486514
37.75,8.0,15.913460641370968
38.0,20.0,16.45196219453384
38.25,0.0,14.284013615835889
38.5,28.0,16.09143043550671
38.75,4.0,14.4980886129859
39.0,28.0,16.277295813626537
39.25,8.0,15.186559554788198
39.5,12.0,14.766652362196043
39.75,24.0,15.983371842298677
40.0,12.0,15.458465133796464
40.25,16.0,15.529825603120313
40.5,16.0,15.591782584506678
40.75,16.0,15.645575217583106
41.0,20.0,16.219377230161527
41.25,4.0,14.609175286741994
41.5,8.0,13.73825472420762
41.75,16.0,14.036295006457994
42.0,16.0,14.295061188837582
42.25,12.0,13.992630719843564
42.5,20.0,14.784248615546947
42.75,8.0,13.89025785811043
43.0,8.0,13.114072257836092
43.25,12.0,12.967265977868909
43.5,28.0,14.948196518060243
43.75,8.0,14.032601612861116
44.0,8.0,13.237658739919336
44.25,4.0,12.020371166625646
44.5,8.0,11.49058889181476
44.75,28.0,13.666107770591399
45.0,8.0,12.919459429028516
45.25,12.0,12.79829815119645
45.5,8.0,12.16600496123817
45.75,8.0,11.617031870504611
46.0,20.0,12.72169304263198
46.25,16.0,13.153690200461739
46.5,16.0,13.528761162300738
46.75,8.0,12.800211597085271
47.0,16.0,13.221862014111935
47.25,20.0,14.115047546571116
47.5,8.0,13.309240404510911
47.75,8.0,12.609618070540938
48.0,24.0,14.11057959858299
48.25,20.0,14.886654843446381
48.5,4.0,13.452071684577493
48.75,20.0,14.314921460001521
49.0,12.0,14.00987391432487
49.25,8.0,13.217925971784421
49.5,20.0,14.111630174130552
49.75,12.0,13.833371229658821
50.0,20.0,14.645975460080718
50.25,4.0,13.243107699103064
50.5,12.0,13.079297842408062
50.75,8.0,12.409976067410993
51.0,20.0,13.410147439212778
51.25,8.0,12.697228134348057
51.5,20.0,13.659547017621085
