Time,Measured,Filtered
0.25,0.0,0.0
0.5,8.0,0.7986906710310965
0.75,4.0,1.1412703516412774
1.0,0.0,1.0126511364443898
1.25,0.0,0.8940166563701991
1.5,0.0,0.786188975530271
1.75,0.0,0.6892704076150707
2.0,0.0,0.6028904220249344
2.25,0.0,0.5263943264566471
2.5,0.0,0.45897852607948325
2.75,0.0,0.39978238461159715
3.0,0.0,0.3479473879141885
3.25,0.0,0.3026529442866071
3.5,0.0,0.26313617278118484
3.75,0.0,0.2287011167326197
4.0,0.0,0.19872123357917051
4.25,0.0,0.17263780061880257
4.5,0.0,0.14995599693900702
4.75,0.0,0.1302398052759886
5.0,0.0,0.11310645645965989
5.25,0.0,0.09822085743491894
5.5,0.0,0.08529025894906746
5.75,0.0,0.07405929987985771
6.0,0.0,0.06430549006514093
6.25,0.0,0.05583514740356285
6.5,0.0,0.048479777792582314
6.75,0.0,0.04209287138698303
7.0,0.0,0.0365470812253626
7.25,0.0,0.03173174755698217
7.5,0.0,0.027550731310412604
7.75,0.0,0.023920521863133773
8.0,0.0,0.020768586829364624
8.25,0.0,0.018031934504731173
8.5,24.0,25.302344676168296
8.75,24.0,25.13073307349284
9.0,44.0,27.617175098266955
9.25,32.0,28.194711537154642
9.5,28.0,28.16905379516719
9.75,28.0,28.14677699611352
10.0,32.0,28.654530403765605
10.25,40.0,30.149566959219634
10.5,24.0,29.33921376671419
10.75,40.0,30.744029646049363
11.0,44.0,32.49082475764833
11.25,28.0,31.899049563760983
11.5,36.0,32.43944954185938
11.75,40.0,33.4357362462205
12.0,36.0,33.77364053158143
12.25,20.0,31.958627211989157
12.5,36.0,32.49117677746529
12.75,36.0,32.95354997140321
13.0,20.0,31.24660314530037
13.25,48.0,33.45427278445074
13.5,28.0,32.73553896707713
13.75,32.0,32.63861371869471
14.0,40.0,33.60865642301083
14.25,40.0,34.45087228683992
14.5,40.0,35.182105616728535
14.75,44.0,36.344078932869884
15.0,24.0,34.71744452262844
15.25,24.0,33.30515898602629
15.5,24.0,32.0789766181408
15.75,40.0,33.12276525724643
16.0,40.0,34.0290092061181
16.25,24.0,32.70744185220192
16.5,44.0,34.195512697706036
16.75,36.0,34.43329805271627
17.0,32.0,34.11265149511256
17.25,32.0,33.83425796706571
17.5,36.0,34.11964747263512
17.75,24.0,32.78613630384889
18.0,40.0,33.73673935965017
18.25,28.0,32.980783578358235
18.5,36.0,33.37863921831676
18.75,24.0,32.14277401774279
19.0,28.0,31.596862172371242
19.25,36.0,32.17708332050687
19.5,28.0,31.626650384936053
19.75,36.0,32.20294620722769
20.0,24.0,31.122007328355842
20.25,48.0,33.34609584674041
20.5,32.0,33.16871478160654
20.75,20.0,31.4334143866998
21.0,44.0,33.08936953032688
21.25,24.0,31.8916226888755
21.5,20.0,30.32461042604769
21.75,36.0,31.072481872310526
22.0,32.0,31.194705080876624
22.25,32.0,31.30082239106092
22.5,20.0,29.811662523622378
22.75,32.0,30.100029532099015
23.0,28.0,29.82329925606902
23.25,40.0,31.16432859060833
23.5,28.0,30.74735087151219
23.75,32.0,30.91241804499579
24.0,28.0,30.52863570422935
24.25,24.0,29.668328202397362
24.5,32.0,29.9755830149131
24.75,44.0,31.823643113178097
25.0,8.0,28.68429519735503
25.25,44.0,30.702514061830655
25.5,20.0,29.292195956641436
25.75,48.0,31.75740689663655
26.0,20.0,30.208080848513248
26.25,28.0,29.917112167660395
26.5,36.0,30.718681480461058
26.75,24.0,29.83333079742056
27.0,32.0,30.118842480628818
27.25,20.0,28.785437387999117
27.5,24.0,28.1548389182796
27.75,36.0,29.188630852376154
28.0,40.0,30.613293278670334
28.25,28.0,30.268927945087547
28.5,32.0,30.497039045556683
28.75,32.0,30.695090926936878
29.0,24.0,29.812848876555442
29.25,48.0,32.20945105460622
29.5,20.0,30.600557127697606
29.75,32.0,30.78496796879399
30.0,40.0,31.999273919566487
30.25,32.0,31.999369598429986
30.5,32.0,31.999452669261917
30.75,40.0,33.05372054378007
31.0,40.0,33.96906282917358
31.25,28.0,33.18249274569949
31.5,16.0,30.918278891688498
31.75,40.0,32.11501786641314
32.0,24.0,31.045665697865083
32.25,16.0,29.063031092973347
32.5,28.0,28.92295073539221
32.75,36.0,29.85552514281948
33.0,12.0,27.502622802201465
33.25,36.0,28.622360168528726
33.5,32.0,29.067446863076437
33.75,24.0,28.39968674458523
34.0,36.0,29.40121398643656
